#  
#   VizieR Astronomical Server: vizier.u-strasbg.fr  2010-03-05T13:56:54
#   (replaces the 'Astrores' format originally described at 
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO -ref=VIZ4b90de9d1bf1 
#INFO -out.max=unlimited 
#
#RESOURCE=yCat_41230305
#Name: J/A+AS/123/305
#Title: Yields of intermediate mass stars (van den Hoek+ 1997)
#Table J_A_AS_123_305_tab2-21:
#Name: J/A+AS/123/305/tab2-21
#Title: *Yields for eta(AGB)=4, m(HBB)=0.8
#---Details of Columns:
#     Yields           (a10)   Yields [ucd=phys.composition.yield]
#     Zini (Sun)       (F6.3)  Initial Z abundance [ucd=phys.abund.Z]
#     Mini (solMass)   (F4.1)  Initial mass [ucd=phys.mass]
#     H                (E9.2)  H yield [ucd=phys.composition.yield]
#     4He              (E9.2)  ^4^He yield [ucd=phys.composition.yield]
#     12C              (E9.2)  ^12^C yield [ucd=phys.composition.yield]
#     13C              (E9.2)  ^13^C yield [ucd=phys.composition.yield]
#     14N              (E9.2)  ^14^N yield [ucd=phys.composition.yield]
#     16O              (E9.2)  ^16^O yield [ucd=phys.composition.yield]
#     CNO              (E9.2)  C+N+O yield [ucd=phys.composition.yield]
#     Total            (E9.2)  Yield of elements heavier than helium [ucd=phys.composition.yield]
#     Meject (solMass) (F5.2)  Ejected mass [ucd=phys.mass]
#     Mend (solMass)   (F5.2)  Mass of the end of phase (1) [ucd=phys.mass]
# ---------- ------ ---- --------- --------- --------- --------- --------- --------- --------- --------- ----- -----
#                   Mi                                                                                   M          
#                   ni (                                                                                 eject Mend 
#            Zini   solM                                                                                 (sol  (sol 
# Yields     (Sun)  ass) H         4He       12C       13C       14N       16O       CNO       Total     Mass) Mass)
# ---------- ------ ---- --------- --------- --------- --------- --------- --------- --------- --------- ----- -----
Total       0.001  0.9 -1.40e-02  1.40e-02 -2.26e-05 -1.35e-05  2.64e-05 -1.97e-06 -1.17e-05 -1.08e-06  0.38  0.56
Total       0.001  1.0 -1.48e-02  1.48e-02 -2.60e-05 -1.49e-05  3.04e-05 -2.23e-06 -1.27e-05 -8.47e-07  0.46  0.57
Total       0.001  1.3 -2.44e-02  2.13e-02  2.81e-03 -1.75e-05  3.64e-05  2.49e-04  3.08e-03  3.09e-03  0.67  0.59
Total       0.001  1.3 -2.47e-02  2.15e-02  2.81e-03 -1.78e-05  3.71e-05  2.49e-04  3.08e-03  3.09e-03  0.69  0.59
Total       0.001  1.5 -2.45e-02  2.10e-02  3.21e-03 -1.95e-05  4.24e-05  2.84e-04  3.51e-03  3.53e-03  0.89  0.62
Total       0.001  1.7 -2.35e-02  1.97e-02  3.43e-03 -2.04e-05  4.59e-05  3.04e-04  3.75e-03  3.77e-03  1.06  0.64
Total       0.001  2.0 -2.95e-02  2.42e-02  4.63e-03 -2.20e-05  8.11e-05  4.00e-04  5.09e-03  5.29e-03  1.32  0.68
Total       0.001  2.5 -2.44e-02  1.88e-02  4.95e-03 -2.27e-05  8.82e-05  4.29e-04  5.44e-03  5.59e-03  1.76  0.74
Total       0.001  3.0 -2.03e-02  1.49e-02  4.72e-03 -2.34e-05  8.02e-05  4.17e-04  5.19e-03  5.35e-03  2.18  0.82
Total       0.001  4.0 -2.68e-02  2.02e-02  1.09e-03  2.23e-04  4.72e-03  4.31e-04  6.47e-03  6.56e-03  3.09  0.91
Total       0.001  5.0 -3.11e-02  2.34e-02  5.80e-04  5.25e-05  6.57e-03  4.12e-04  7.61e-03  7.72e-03  4.02  0.98
Total       0.001  7.0 -4.12e-02  3.16e-02  7.34e-04  9.10e-05  8.69e-03  6.29e-05  9.58e-03  9.61e-03  5.87  1.13
