#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2009-10-01T17:11:31
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VIZ4ac4e2b8a19	
#INFO	-out.max=50000	

#RESOURCE=yCat_41230305
#Name: J/A+AS/123/305
#Title: Yields of intermediate mass stars (van den Hoek+ 1997)
#Table	J_A_AS_123_305_tab2-21:
#Name: J/A+AS/123/305/tab2-21
#Title: *Yields for eta(AGB)=4, m(HBB)=0.8
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Yields	(a10)	Yields	[ucd=phys.composition.yield]
#Column	Zini	(F6.3)	Initial Z abundance	[ucd=phys.abund.Z]
#Column	Mini	(F4.1)	Initial mass	[ucd=phys.mass]
#Column	H	(E9.2)	H yield	[ucd=phys.composition.yield]
#Column	4He	(E9.2)	^4^He yield	[ucd=phys.composition.yield]
#Column	12C	(E9.2)	^12^C yield	[ucd=phys.composition.yield]
#Column	13C	(E9.2)	^13^C yield	[ucd=phys.composition.yield]
#Column	14N	(E9.2)	^14^N yield	[ucd=phys.composition.yield]
#Column	16O	(E9.2)	^16^O yield	[ucd=phys.composition.yield]
#Column	CNO	(E9.2)	C+N+O yield	[ucd=phys.composition.yield]
#Column	Total	(E9.2)	Yield of elements heavier than helium	[ucd=phys.composition.yield]
#Column	Meject	(F5.2)	Ejected mass	[ucd=phys.mass]
#Column	Mend	(F5.2)	Mass of the end of phase (1)	[ucd=phys.mass]
recno;Yields;Zini;Mini;H;4He;12C;13C;14N;16O;CNO;Total;Meject;Mend
;;Sun;solMass;;;;;;;;;solMass;solMass
--------;----------;------;----;---------;---------;---------;---------;---------;---------;---------;---------;-----;-----
       1;Pre-AGB   ; 0.001; 0.8; 0.00e+00; 0.00e+00; 0.00e+00; 0.00e+00; 0.00e+00; 0.00e+00; 0.00e+00; 0.00e+00; 0.00; 0.80
       2;Pre-AGB   ; 0.001; 0.9;-6.76e-04; 6.82e-04;-7.62e-07;-1.24e-06; 8.38e-07; 6.22e-08;-1.06e-06;-1.06e-06; 0.03; 0.87
       3;Pre-AGB   ; 0.001; 1.0;-7.26e-04; 6.69e-04;-1.10e-06;-1.07e-06; 1.26e-06; 4.50e-08;-8.29e-07;-8.29e-07; 0.03; 0.97
       4;Pre-AGB   ; 0.001; 1.3;-1.73e-04; 1.73e-04;-4.38e-07;-2.41e-07; 5.06e-07; 6.40e-09;-1.53e-07;-1.53e-07; 0.01; 1.24
       5;Pre-AGB   ; 0.001; 1.3;-4.35e-04; 3.90e-04;-1.01e-06;-6.14e-07; 1.16e-06;-1.60e-08;-4.59e-07;-4.59e-07; 0.02; 1.23
       6;Pre-AGB   ; 0.001; 1.5;-1.76e-04; 1.71e-04;-5.92e-07;-2.65e-07; 6.95e-07; 5.33e-09;-1.40e-07;-1.40e-07; 0.01; 1.49
       7;Pre-AGB   ; 0.001; 1.7;-3.88e-05; 3.91e-05;-1.66e-07;-6.58e-08; 1.97e-07;-2.94e-09;-3.22e-08;-3.22e-08; 0.00; 1.70
       8;Pre-AGB   ; 0.001; 2.0;-6.02e-05; 5.81e-05;-2.53e-07;-9.77e-08; 3.53e-07;-6.35e-08;-5.16e-08;-5.16e-08; 0.01; 1.99
       9;Pre-AGB   ; 0.001; 2.5;-3.17e-05; 3.10e-05;-2.94e-07;-1.05e-07; 3.98e-07;-6.24e-08;-5.30e-08;-5.30e-08; 0.01; 2.49
      10;Pre-AGB   ; 0.001; 3.0;-1.51e-05; 1.23e-05;-3.35e-07;-1.25e-07; 3.94e-07;-7.00e-09;-6.41e-08;-6.41e-08; 0.01; 2.99
      11;Pre-AGB   ; 0.001; 4.0;-4.20e-06; 4.90e-06;-2.31e-07;-1.00e-07; 2.74e-07;-6.00e-09;-5.80e-08;-5.80e-08; 0.01; 3.99
      12;Pre-AGB   ; 0.001; 5.0;-1.19e-05; 2.74e-06;-1.90e-07;-8.80e-08; 2.25e-07;-6.60e-09;-5.71e-08;-5.71e-08; 0.01; 4.99
      13;Pre-AGB   ; 0.001; 7.0;-7.77e-06; 3.11e-06;-1.68e-07;-7.84e-08; 2.06e-07;-1.17e-08;-4.76e-08;-4.76e-08; 0.02; 6.98
      14;AGB       ; 0.001; 0.8;-1.21e-02; 1.21e-02;-1.87e-05;-1.07e-05; 2.18e-05;-1.76e-06;-9.29e-06;-1.49e-08; 0.27; 0.55
      15;AGB       ; 0.001; 0.9;-1.27e-02; 1.27e-02;-2.07e-05;-1.17e-05; 2.42e-05;-1.93e-06;-1.01e-05;-1.47e-08; 0.33; 0.57
      16;AGB       ; 0.001; 1.0;-1.33e-02; 1.33e-02;-2.36e-05;-1.31e-05; 2.76e-05;-2.15e-06;-1.13e-05;-1.70e-08; 0.41; 0.59
      17;AGB       ; 0.001; 1.3;-1.85e-02; 1.68e-02; 1.49e-03;-1.56e-05; 3.32e-05; 1.32e-04; 1.64e-03; 1.66e-03; 0.60; 0.65
