 alpha_MLT Mi MTP,0   Mej       My(H)     My(3He)   My(4He)    My(12C)   My(13C)  My(14N)    My(15N)    My(16O)  My(17O)    My(18O)   My(CNO)
 1.68  0.837 0.550 9.437E-03 -1.274E-04 3.410E-05 9.343E-05 -1.467E-08 1.949E-08 3.407E-09 -4.813E-10 -7.550E-10 0.000E+00 -4.719E-11 7.031E-09
 1.68  0.868 0.600 4.408E-02 -5.951E-04 1.607E-04 4.364E-04 -6.854E-08 9.323E-08 1.591E-08 -2.380E-09 -3.526E-09 2.647E-23 -2.204E-10 3.491E-08
 1.68  0.934 0.700 1.647E-01 -2.800E-03 4.407E-04 2.355E-03 -3.550E-06 3.232E-06 7.182E-07 -5.155E-08 -1.317E-08 1.059E-22 -8.234E-10 3.348E-07
 1.68  1.005 0.800 2.550E-01 -4.284E-03 5.339E-04 3.799E-03 -1.978E-05 1.011E-05 1.259E-05 -1.214E-07 -2.040E-08 5.100E-10 -1.402E-08 2.770E-06
 1.68  1.082 0.900 3.548E-01 -5.854E-03 5.881E-04 5.286E-03 -5.944E-05 1.604E-05 5.228E-05 -2.214E-07 -2.838E-08 3.193E-09 -7.982E-08 8.550E-06
 1.68  1.163 1.000 4.428E-01 -7.440E-03 4.746E-04 6.997E-03 -1.734E-04 2.594E-05 1.751E-04 -4.296E-07 -3.543E-08 6.244E-08 -4.628E-07 2.676E-05
 1.68  1.248 1.100 5.395E-01 -9.063E-03 5.782E-04 8.524E-03 -2.112E-04 3.163E-05 2.133E-04 -5.233E-07 -4.316E-08 7.607E-08 -5.691E-07 3.262E-05
 1.68  1.334 1.200 6.320E-01 -7.900E-03 5.000E-04 7.458E-03 -3.062E-04 3.967E-05 3.162E-04 -7.262E-07 -5.056E-08 2.939E-07 -1.008E-06 4.817E-05
 1.68  1.420 1.300 7.152E-01 -8.940E-03 5.650E-04 8.439E-03 -3.465E-04 4.496E-05 3.578E-04 -8.246E-07 -5.721E-08 3.326E-07 -1.141E-06 5.457E-05
 1.68  1.504 1.400 8.171E-01 -1.946E-02 5.625E-04 1.591E-02  2.504E-03 5.073E-05 4.778E-04 -1.089E-06  1.472E-04 6.546E-07 -1.994E-06 3.177E-03
 1.68  1.588 1.500 9.197E-01 -2.946E-02 5.368E-04 2.343E-02  4.718E-03 6.350E-05 7.216E-04 -1.476E-06  2.699E-04 1.626E-06 -3.157E-06 5.770E-03
 1.68  1.672 1.600 1.008E+00 -3.768E-02 4.369E-04 2.935E-02  6.700E-03 6.754E-05 9.547E-04 -1.779E-06  3.140E-04 2.387E-05 -4.288E-06 8.054E-03
 1.68  1.756 1.700 1.105E+00 -4.660E-02 4.761E-04 3.601E-02  9.064E-03 7.316E-05 1.031E-03 -1.965E-06  4.308E-04 2.595E-05 -4.838E-06 1.062E-02
 1.68  1.839 1.800 1.185E+00 -5.631E-02 4.414E-04 4.329E-02  1.126E-02 7.619E-05 1.184E-03 -2.158E-06  4.711E-04 3.836E-05 -5.570E-06 1.302E-02
 1.68  1.923 1.900 1.284E+00 -6.698E-02 4.996E-04 5.187E-02  1.345E-02 8.183E-05 1.377E-03 -2.385E-06  4.807E-04 5.231E-05 -6.316E-06 1.543E-02
