 alpha_MLT Mi      Mej       My(H)     My(3He)       My(4He)     My(12C)     My(13C)    My(14N)     My(15N)     My(16O)      My(17O)     My(18O)    My(CNO)
  1.68   3.50   2.657E+00  -1.681E-01   2.022E-04   1.358E-01   2.816E-02   1.784E-04   4.241E-03  -5.346E-06  -1.735E-04   4.764E-05  -1.476E-05   3.244E-02 T
  1.68   3.50   2.657E+00  -1.681E-01   2.022E-04   1.358E-01  -3.122E-03   1.777E-04   4.238E-03  -5.343E-06  -3.022E-03   4.760E-05  -1.480E-05  -1.701E-03 S
  1.68   3.50   2.657E+00  -1.681E-01   2.022E-04   1.358E-01   3.129E-02   7.097E-07   2.211E-06  -3.231E-09   2.849E-03   3.493E-08   4.565E-08   3.414E-02 P
  1.68   4.00   3.098E+00  -1.514E-01   1.769E-04   1.315E-01   1.622E-02   2.258E-04   5.253E-03  -6.181E-06  -1.212E-03   4.033E-05  -1.585E-05   2.050E-02 T
  1.68   4.00   3.098E+00  -1.514E-01   1.769E-04   1.315E-01  -3.461E-03   2.256E-04   5.251E-03  -6.178E-06  -2.998E-03   4.030E-05  -1.586E-05  -9.638E-04 S
  1.68   4.00   3.098E+00  -1.514E-01   1.769E-04   1.315E-01   1.968E-02   2.518E-07   2.122E-06  -3.457E-09   1.786E-03   2.752E-08   7.803E-09   2.147E-02 P
  1.68   4.50   3.542E+00  -1.975E-01   1.427E-04   1.828E-01   1.065E-02   3.213E-04   6.904E-03  -1.257E-05  -2.487E-03   3.479E-05  -1.897E-05   1.539E-02 T
  1.68   4.50   3.542E+00  -1.975E-01   1.427E-04   1.828E-01  -4.044E-03   2.783E-04   6.905E-03  -1.257E-05  -3.824E-03   3.478E-05  -1.894E-05  -6.807E-04 S
  1.68   4.50   3.542E+00  -1.975E-01   1.427E-04   1.828E-01   1.469E-02   4.302E-05  -1.647E-06  -5.404E-12   1.337E-03   1.834E-08  -3.064E-08   1.607E-02 P
  1.68   5.00   4.003E+00  -3.028E-01  -2.244E-05   2.866E-01   4.127E-03   3.735E-03   1.327E-02  -1.534E-05  -3.970E-03   5.898E-05  -8.141E-05   1.712E-02 T
  1.68   5.00   4.003E+00  -3.028E-01  -2.244E-05   2.866E-01  -7.200E-03   1.455E-03   1.067E-02  -1.542E-05  -5.393E-03   5.799E-05  -8.141E-05  -5.042E-04 S
  1.68   5.00   4.003E+00  -3.028E-01  -2.244E-05   2.866E-01   1.133E-02   2.280E-03   2.597E-03   8.058E-08   1.423E-03   9.831E-07   1.899E-10   1.763E-02 P
  2.00   3.50   2.590E+00  -2.091E-01   1.895E-04   1.628E-01   4.194E-02   1.702E-04   3.950E-03  -5.483E-06   5.987E-04   4.491E-05  -1.545E-05   4.668E-02 T
  2.00   3.50   2.590E+00  -2.091E-01   1.895E-04   1.628E-01  -3.190E-03   1.662E-04   3.948E-03  -5.484E-06  -3.504E-03   4.491E-05  -1.544E-05  -2.556E-03 S
  2.00   3.50   2.590E+00  -2.091E-01   1.895E-04   1.628E-01   4.513E-02   3.982E-06   2.283E-06   6.446E-10   4.103E-03  -4.840E-09  -1.536E-08   4.924E-02 P
  2.00   4.00   3.032E+00  -1.915E-01   4.442E-05   1.574E-01   2.363E-02   4.839E-03   6.971E-03  -1.161E-05  -4.628E-04   4.568E-05  -4.804E-05   3.496E-02 T
  2.00   4.00   3.032E+00  -1.915E-01   4.442E-05   1.574E-01  -4.073E-03   6.606E-04   5.150E-03  -1.167E-05  -3.471E-03   4.486E-05  -4.804E-05  -1.749E-03 S
  2.00   4.00   3.032E+00  -1.915E-01   4.442E-05   1.574E-01   2.770E-02   4.178E-03   1.821E-03   5.684E-08   3.008E-03   8.221E-07  -2.823E-10   3.671E-02 P
  2.00   4.50   3.512E+00  -2.213E-01  -8.370E-05   1.961E-01  -5.882E-03   1.335E-03   3.291E-02  -1.283E-05  -2.275E-03   2.227E-04  -7.223E-05   2.623E-02 T
  2.00   4.50   3.512E+00  -2.213E-01  -8.370E-05   1.961E-01  -1.010E-02   3.414E-04   1.375E-02  -1.341E-05  -4.225E-03   2.114E-04  -7.223E-05  -1.112E-04 S
  2.00   4.50   3.512E+00  -2.213E-01  -8.370E-05   1.961E-01   4.223E-03   9.938E-04   1.916E-02   5.844E-07   1.950E-03   1.130E-05   1.330E-09   2.634E-02 P
  2.00   5.00   3.987E+00  -3.196E-01  -1.149E-04   2.968E-01  -9.665E-03   4.570E-04   3.683E-02  -1.463E-05  -4.890E-03   1.118E-03  -8.209E-05   2.376E-02 T
