 alpha_MLT Mi MTP,0   Mej       My(H)     My(3He)   My(4He)    My(12C)   My(13C)  My(14N)    My(15N)    My(16O)  My(17O)    My(18O)   My(CNO)
 1.68  0.850 0.600 2.877E-02 -4.575E-04  6.851E-05 3.913E-04 -3.959E-07 3.576E-07 9.356E-08 -6.099E-09 -1.611E-08 0.000E+00 -2.302E-10 3.286E-08
 1.68  0.918 0.700 1.218E-01 -1.937E-03  3.050E-04 1.645E-03 -1.676E-06 1.412E-06 4.571E-07 -2.229E-08 -6.822E-08 2.647E-23 -9.746E-10 1.012E-07
 1.68  0.992 0.800 2.343E-01 -3.772E-03  4.597E-04 3.327E-03 -8.846E-06 4.561E-06 5.564E-06 -5.693E-08 -1.312E-07 2.343E-10 -6.559E-09 1.085E-06
 1.68  1.071 0.900 3.276E-01 -5.438E-03  5.167E-04 4.914E-03 -2.711E-05 7.106E-06 2.419E-05 -9.992E-08 -1.835E-07 1.966E-09 -3.964E-08 3.866E-06
 1.68  1.154 1.000 4.125E-01 -6.682E-03  5.318E-04 6.229E-03 -5.064E-05 1.015E-05 4.849E-05 -1.522E-07 -2.310E-07 9.075E-09 -1.114E-07 7.514E-06
 1.68  1.239 1.100 5.058E-01 -8.144E-03  5.429E-04 7.587E-03 -8.536E-05 1.299E-05 8.607E-05 -2.170E-07 -2.833E-07 3.389E-08 -2.307E-07 1.300E-05
 1.68  1.315 1.200 5.984E-01 -2.264E-02  4.456E-04 1.763E-02  4.168E-03 1.603E-05 1.328E-04 -3.387E-07  3.178E-04 1.725E-07 -6.405E-07 4.634E-03
 1.68  1.407 1.300 6.901E-01 -2.779E-02  5.126E-04 2.147E-02  5.320E-03 1.837E-05 1.518E-04 -3.932E-07  4.042E-04 1.941E-07 -7.568E-07 5.894E-03
 1.68  1.499 1.400 7.905E-01 -4.138E-02  4.393E-04 3.157E-02  8.468E-03 2.230E-05 2.827E-04 -5.898E-07  6.445E-04 1.141E-06 -1.459E-06 9.416E-03
 1.68  1.583 1.500 8.801E-01 -5.711E-02  4.802E-04 4.272E-02  1.276E-02 2.403E-05 3.013E-04 -6.705E-07  9.644E-04 1.222E-06 -1.735E-06 1.405E-02
 1.68  1.667 1.600 9.715E-01 -7.116E-02  4.553E-04 5.264E-02  1.666E-02 2.565E-05 3.544E-04 -7.774E-07  1.246E-03 5.474E-06 -2.150E-06 1.829E-02
 1.68  1.750 1.700 1.062E+00 -8.307E-02  4.337E-04 6.126E-02  1.978E-02 2.773E-05 4.214E-04 -8.742E-07  1.445E-03 9.936E-06 -2.490E-06 2.168E-02
 1.68  1.832 1.800 1.145E+00 -9.844E-02  4.119E-04 7.249E-02  2.363E-02 2.842E-05 4.948E-04 -9.588E-07  1.681E-03 1.107E-05 -2.816E-06 2.584E-02
