 alpha_MLT Mi      Mej       My(H)     My(3He)       My(4He)     My(12C)     My(13C)    My(14N)     My(15N)     My(16O)      My(17O)     My(18O)    My(CNO)
  1.68   3.50   2.561E+00  -1.800E-01   2.044E-04   1.415E-01   3.450E-02   1.592E-04   1.836E-03  -3.607E-06   1.857E-03   9.426E-06  -6.499E-06   3.836E-02 T
  1.68   3.50   2.561E+00  -1.800E-01   2.044E-04   1.415E-01  -1.338E-03   6.942E-05   1.836E-03  -3.607E-06  -1.411E-03   9.419E-06  -6.498E-06  -8.445E-04 S
  1.68   3.50   2.561E+00  -1.800E-01   2.044E-04   1.415E-01   3.584E-02   8.978E-05   3.208E-07   2.783E-10   3.267E-03   6.437E-09  -8.978E-10   3.920E-02 P
  1.68   4.00   3.022E+00  -1.646E-01  -3.100E-05   1.396E-01   7.742E-03   3.390E-03   1.360E-02  -4.591E-06   4.882E-04   3.209E-05  -2.607E-05   2.523E-02 T
  1.68   4.00   3.022E+00  -1.646E-01  -3.100E-05   1.396E-01  -2.433E-03   5.190E-04   3.054E-03  -4.917E-06  -1.497E-03   2.864E-05  -2.607E-05  -3.586E-04 S
  1.68   4.00   3.022E+00  -1.646E-01  -3.100E-05   1.396E-01   1.017E-02   2.871E-03   1.055E-02   3.265E-07   1.985E-03   3.450E-06   5.289E-10   2.558E-02 P
  1.68   4.50   3.487E+00  -2.454E-01  -9.121E-05   2.225E-01  -1.824E-03   3.996E-04   2.500E-02  -5.052E-06  -7.621E-04   4.696E-04  -3.021E-05   2.324E-02 T
  1.68   4.50   3.487E+00  -2.454E-01  -9.121E-05   2.225E-01  -4.460E-03   4.048E-05   6.507E-03  -5.595E-06  -2.425E-03   4.184E-04  -3.022E-05   4.575E-05 S
  1.68   4.50   3.487E+00  -2.454E-01  -9.121E-05   2.225E-01   2.636E-03   3.591E-04   1.849E-02   5.425E-07   1.662E-03   5.120E-05   3.510E-09   2.320E-02 P
  1.68   5.00   3.968E+00  -3.353E-01  -1.061E-04   3.168E-01  -2.519E-03   3.233E-04   2.206E-02  -5.962E-06  -2.706E-03   1.197E-03  -3.440E-05   1.831E-02 T
  1.68   5.00   3.968E+00  -3.353E-01  -1.061E-04   3.168E-01  -5.066E-03   5.023E-05   8.072E-03  -6.359E-06  -3.958E-03   1.114E-03  -3.440E-05   1.720E-04 S
  1.68   5.00   3.968E+00  -3.353E-01  -1.061E-04   3.168E-01   2.547E-03   2.730E-04   1.399E-02   3.972E-07   1.252E-03   8.301E-05   3.860E-09   1.814E-02 P
  2.00   3.50   2.524E+00  -2.013E-01  -2.423E-05   1.535E-01   1.672E-02   6.773E-03   2.210E-02  -3.500E-06   2.281E-03   2.816E-05  -2.180E-05   4.788E-02 T
  2.00   3.50   2.524E+00  -2.013E-01  -2.423E-05   1.535E-01  -1.154E-03   6.575E-04   9.291E-04  -4.157E-06  -1.500E-03   2.183E-05  -2.180E-05  -1.072E-03 S
  2.00   3.50   2.524E+00  -2.013E-01  -2.423E-05   1.535E-01   1.788E-02   6.116E-03   2.117E-02   6.571E-07   3.781E-03   6.328E-06   1.033E-09   4.895E-02 P
  2.00   4.00   3.005E+00  -1.820E-01  -7.987E-05   1.518E-01  -1.424E-03   4.168E-04   3.084E-02  -4.089E-06  -4.333E-05   6.806E-04  -2.602E-05   3.044E-02 T
  2.00   4.00   3.005E+00  -1.820E-01  -7.987E-05   1.518E-01  -3.864E-03   2.831E-05   5.322E-03  -4.831E-06  -2.170E-03   5.682E-04  -2.603E-05  -1.469E-04 S
  2.00   4.00   3.005E+00  -1.820E-01  -7.987E-05   1.518E-01   2.440E-03   3.885E-04   2.551E-02   7.424E-07   2.126E-03   1.123E-04   7.704E-09   3.058E-02 P
  2.00   4.50   3.477E+00  -2.561E-01  -9.298E-05   2.327E-01  -2.672E-03   3.553E-04   2.680E-02  -5.015E-06  -2.244E-03   1.379E-03  -3.012E-05   2.358E-02 T
  2.00   4.50   3.477E+00  -2.561E-01  -9.298E-05   2.327E-01  -4.446E-03   4.183E-05   6.999E-03  -5.574E-06  -3.777E-03   1.225E-03  -3.012E-05   8.273E-06 S
  2.00   4.50   3.477E+00  -2.561E-01  -9.298E-05   2.327E-01   1.774E-03   3.135E-04   1.980E-02   5.588E-07   1.534E-03   1.532E-04   7.254E-09   2.357E-02 P
  2.00   5.00   3.968E+00  -3.458E-01  -1.062E-04   3.276E-01  -3.156E-03   3.058E-04   2.357E-02  -5.939E-06  -4.779E-03   1.933E-03  -3.438E-05   1.784E-02 T
  2.00   5.00   3.968E+00  -3.458E-01  -1.062E-04   3.276E-01  -5.025E-03   6.338E-05   9.140E-03  -6.336E-06  -5.880E-03   1.796E-03  -3.439E-05   5.299E-05 S
  2.00   5.00   3.968E+00  -3.458E-01  -1.062E-04   3.276E-01   1.869E-03   2.424E-04   1.444E-02   3.971E-07   1.100E-03   1.376E-04   4.809E-09   1.778E-02 P
  2.50   3.50   2.523E+00  -2.217E-01  -6.659E-05   1.675E-01  -3.229E-04   6.600E-04   5.158E-02  -2.685E-06   1.964E-03   5.020E-04  -2.185E-05   5.435E-02 T
  2.50   3.50   2.523E+00  -2.217E-01  -6.659E-05   1.675E-01  -3.241E-03   2.583E-05   4.066E-03  -4.070E-06  -1.888E-03   3.337E-04  -2.187E-05  -7.293E-04 S
  2.50   3.50   2.523E+00  -2.217E-01  -6.659E-05   1.675E-01   2.918E-03   6.342E-04   4.751E-02   1.385E-06   3.852E-03   1.684E-04   1.347E-08   5.508E-02 P
  2.50   4.00   2.991E+00  -1.932E-01  -7.998E-05   1.641E-01  -2.361E-03   3.846E-04   3.155E-02  -4.086E-06  -1.752E-03   1.429E-03  -2.589E-05   2.922E-02 T
  2.50   4.00   2.991E+00  -1.932E-01  -7.998E-05   1.641E-01  -3.823E-03   3.242E-05   5.999E-03  -4.796E-06  -3.555E-03   1.198E-03  -2.590E-05  -1.786E-04 S
  2.50   4.00   2.991E+00  -1.932E-01  -7.998E-05   1.641E-01   1.462E-03   3.522E-04   2.555E-02   7.099E-07   1.803E-03   2.306E-04   1.179E-08   2.940E-02 P
  2.50   4.50   3.490E+00  -2.730E-01  -9.336E-05   2.497E-01  -2.722E-03   3.305E-04   2.832E-02  -5.019E-06  -4.337E-03   1.822E-03  -3.024E-05   2.338E-02 T
  2.50   4.50   3.490E+00  -2.730E-01  -9.336E-05   2.497E-01  -4.418E-03   5.714E-05   8.293E-03  -5.566E-06  -5.683E-03   1.616E-03  -3.024E-05  -1.709E-04 S
  2.50   4.50   3.490E+00  -2.730E-01  -9.336E-05   2.497E-01   1.696E-03   2.734E-04   2.003E-02   5.471E-07   1.346E-03   2.060E-04   7.091E-09   2.355E-02 P
  2.50   5.00   3.974E+00  -3.582E-01  -1.063E-04   3.411E-01  -3.436E-03   3.013E-04   2.479E-02  -5.935E-06  -6.937E-03   2.021E-03  -3.445E-05   1.670E-02 T
  2.50   5.00   3.974E+00  -3.582E-01  -1.063E-04   3.411E-01  -4.969E-03   8.400E-05   1.074E-02  -6.311E-06  -7.866E-03   1.872E-03  -3.446E-05  -1.770E-04 S
  2.50   5.00   3.974E+00  -3.582E-01  -1.063E-04   3.411E-01   1.533E-03   2.173E-04   1.405E-02   3.753E-07   9.287E-04   1.498E-04   3.860E-09   1.688E-02 P
